# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Tue Jul 01 10:53:28 EDT 2025 [seed=1751381601038]
# -save_every 100000 -save_state r1 -prefix r1_ -beagle_GPU -beagle_SSE -beagle_cuda ha_sc_gtrfg4i.xml
state	joint	prior	likelihood	rootHeight	treeLength	tmrca(gr21)	tmrca(gr22)	tmrca(prespa22)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	pInv	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
52960000	-60539.74870628351	-13776.552845225879	-46763.19586105763	4.2316619189710565	370.1115112684884	1.6785246930178503	0.512837851486805	0.4862326366880079	8.6810589438817	0.42396067200552295	2.094693183930942	0.20684593141282187	0.04963949984662323	2.961258551131248	0.2636021616728346	0.5819208482341987	0.9950428463379127	0.00889330697185823	0.008893306971858262	-46763.19586105763	0.0	-13762.491585662014
53000000	-60471.203215057976	-13829.967357804368	-46641.23585725361	4.339605241590701	372.47381899397243	1.6716131329754618	0.5109856883188262	0.5109856883188262	8.67837809404034	0.42396067200552295	2.094693183930942	0.20684593141282187	0.04963949984662323	2.961258551131248	0.2636021616728346	0.5806916264279475	0.9650920623284995	0.008728596738056522	0.008728596738056487	-46641.23585725361	0.0	-13815.96173782193
53040000	-60587.183686797136	-13887.531641158457	-46699.65204563868	4.431475422267447	375.26099945079574	1.6716057906237558	0.5416009388566599	0.5416009388566599	8.846486498514343	0.4095777405413706	2.0703318931508456	0.20684593141282187	0.04963949984662323	2.9756414825954005	0.2879634524529309	0.5745197844123306	0.9901474602512433	0.00897259316260948	0.008972593162609491	-46699.65204563868	0.0	-13873.393082162924
53080000	-60679.75199766578	-13893.023886588633	-46786.728111077144	4.28865594872548	375.3144643700258	1.6666268079120614	0.5289340940943483	0.5289340940943483	8.94775639254994	0.4059750739458723	2.0703318931508456	0.21892998984602902	0.03156814418660194	2.9756414825954005	0.2975534162752434	0.5985250991538271	0.9817652147745644	0.008889196390688324	0.008889196390688334	-46786.728111077144	0.0	-13878.861405198008
53120000	-60672.10400165688	-13987.419815442554	-46684.68418621433	4.579946551533899	380.6722016066969	1.630994413629891	0.5279339902709006	0.5279339902709006	9.048791900966929	0.4059750739458723	1.9936610672806967	0.2372670489148855	0.03156814418660194	3.033975249396693	0.2975534162752434	0.6497254527647255	0.979934217033251	0.00909972768088686	0.009099727680886838	-46684.68418621433	0.0	-13973.011228989722
53160000	-60683.58101594287	-13976.342505222941	-46707.23851071993	4.734358913163388	380.23096384101314	1.7668996582791114	0.5059354624465655	0.5059354624465655	9.229086480257665	0.3866005385311026	2.033448269285678	0.2372670489148855	0.03156814418660194	3.013562582806481	0.2975534162752434	0.6079205766116884	0.979934217033251	0.008848123992629492	0.008848123992629468	-46707.23851071993	0.0	-13962.110761427359
53200000	-60659.90767147838	-13929.530555263294	-46730.37711621509	4.599973686232284	378.52983804848407	1.655345535018005	0.5077943052812128	0.5077943052812128	8.946224198709444	0.3755450621545197	2.1638615772055765	0.19896150424145928	0.03156814418660194	2.932510295936592	0.2975534162752434	0.5901211550745944	0.9863702749592406	0.008827238918663468	0.008827238918663457	-46730.37711621509	0.0	-13915.38768755502
53240000	-60687.251899935785	-13941.354790087304	-46745.89710984848	4.477223826944344	378.35705453686813	1.672721649433178	0.5228768142982655	0.5228768142982655	9.075025813440597	0.42283063754563294	2.1059255822162233	0.19896150424145928	0.03156814418660194	2.9431607155348316	0.2975534162752434	0.5901211550745944	0.8927701594763346	0.008861207482666158	0.008861207482666144	-46745.89710984848	0.0	-13927.18403750341
53280000	-60686.55713537608	-13957.689914664668	-46728.867220711414	4.2305385375588624	378.06942491837316	1.6192227765974776	0.4987992371541426	0.4975273128751145	9.035300748919369	0.42283063754563294	2.106241762190965	0.19896150424145928	0.03125196421186062	2.9431607155348316	0.2975534162752434	0.5961860236936081	0.8927701594763346	0.008791770721616987	0.008791770721616996	-46728.867220711414	0.0	-13943.543808560362
53320000	-60560.714857936764	-13936.163069526145	-46624.551788410616	4.44393239633104	376.56503285747516	1.5989833990230637	0.5976139856969445	0.5976139856969445	9.038855513819025	0.4127387327402949	2.106241762190965	0.2104301906899929	0.029875182568665067	2.9431607155348316	0.2975534162752434	0.60888594168699	0.9783878399493465	0.008805583044334892	0.008805583044334856	-46624.551788410616	0.0	-13921.996413654068
53360000	-60513.67983702229	-13864.28636048056	-46649.39347654173	4.171347532699985	372.93394856091425	1.6016207003933935	0.5396894851318675	0.5396894851318675	9.010660604413998	0.3965970194763738	2.106241762190965	0.1933780427515946	0.04601689583258615	2.9431607155348316	0.3146055642136417	0.60888594168699	0.994617261738408	0.009237736138095492	0.009237736138095452	-46649.39347654173	0.0	-13849.964862943987
53400000	-60484.95219002856	-13798.388755951848	-46686.563434076714	4.553033992341697	371.94431606952736	1.6298745060590907	0.598447328016763	0.598447328016763	8.833942821353958	0.39921804007821005	2.1296023328002702	0.23383163555867365	0.04601689583258615	2.91717912432369	0.27415197140656267	0.6270172132460925	0.9813457517325398	0.009269549045455133	0.009269549045455096	-46686.563434076714	0.0	-13784.045221539085
53440000	-60546.92608182788	-13890.460947486943	-46656.465134340935	4.476682379960696	374.80580752042334	1.6298635583542105	0.5179213964695744	0.5179213964695744	9.005289711132002	0.4262028001691445	2.1053532907578765	0.23383163555867365	0.04601689583258615	2.8913901150974497	0.297205262584262	0.6921064176029859	0.9813457517325398	0.008988308028159976	0.008988308028160034	-46656.465134340935	0.0	-13876.065994849308
